Error QP: 6, Fecha: 17/11/2012, Hora: 13:03, Ubicación: FactPagoParcial
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactPagoDirecto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactPagoDirecto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactPagoDirecto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactPagoDirecto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactPagoDirecto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactRegistroProducto
Error QP: -1, Fecha: , Hora: , Ubicación: FactPagoDirecto
